Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Alisson,br BRA,GK,32-349,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Dominik Szoboszlai,hu HUN,"DF,MF",24-326,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,9.0,26.0,12.0,0.25,0.0,0.25,0.25,0.25,0.09,0.05,0.15,0.09,0.15,Matches,Liverpool
Virgil van Dijk,nl NED,DF,34-070,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,8.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Liverpool
Cody Gakpo,nl NED,"FW,MF",26-132,4,4,359.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,1.9,18.0,11.0,39.0,0.25,0.5,0.75,0.25,0.75,0.13,0.34,0.47,0.13,0.47,Matches,Liverpool
Mohamed Salah,eg EGY,"FW,MF",33-093,4,4,359.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.1,0.3,0.5,0.9,14.0,12.0,43.0,0.5,0.25,0.75,0.25,0.5,0.28,0.14,0.41,0.08,0.21,Matches,Liverpool
Ibrahima Konaté,fr FRA,DF,26-114,4,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.18,0.13,0.18,Matches,Liverpool
Florian Wirtz,de GER,MF,22-136,4,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,11.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.15,0.16,0.31,0.15,0.31,Matches,Liverpool
Hugo Ekitike,fr FRA,FW,23-088,4,4,299.0,3.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.3,1.7,5.0,7.0,16.0,0.6,0.3,0.9,0.6,0.9,0.44,0.08,0.52,0.44,0.52,Matches,Liverpool
Milos Kerkez,hu HUN,DF,21-313,4,4,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Liverpool
Ryan Gravenberch,nl NED,MF,23-123,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.4,8.0,16.0,8.0,0.33,0.0,0.33,0.33,0.33,0.06,0.09,0.15,0.06,0.15,Matches,Liverpool
Alexis Mac Allister,ar ARG,MF,26-266,3,3,176.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,3.0,9.0,7.0,0.0,0.51,0.51,0.0,0.51,0.04,0.37,0.41,0.04,0.41,Matches,Liverpool
Curtis Jones,eng ENG,MF,24-229,3,1,138.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Liverpool
Jeremie Frimpong,nl NED,DF,24-280,2,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Liverpool
Andrew Robertson,sct SCO,DF,31-189,2,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.11,0.35,0.46,0.11,0.46,Matches,Liverpool
Conor Bradley,nir NIR,DF,22-069,2,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Liverpool
Federico Chiesa,it ITA,FW,27-326,4,0,51.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,2.0,2.0,1.76,0.0,1.76,1.76,1.76,0.74,0.0,0.74,0.74,0.74,Matches,Liverpool
Wataru Endo,jp JPN,"MF,DF",32-219,3,0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,2.65,2.65,0.0,2.65,0.0,0.29,0.29,0.0,0.29,Matches,Liverpool
Joe Gomez,eng ENG,DF,28-116,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Rio Ngumoha,eng ENG,"MF,FW",17-018,2,0,5.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,4.0,0.0,5.0,18.0,0.0,18.0,18.0,18.0,6.4,1.27,7.67,6.4,7.67,Matches,Liverpool
Harvey Elliott,eng ENG,"MF,FW",22-165,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Giovanni Leoni,it ITA,DF,18-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Giorgi Mamardashvili,ge GEO,GK,24-352,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Trey Nyoni,eng ENG,MF,18-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Squad Total,,,27.1,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,8.0,0.0,6.0,5.3,4.7,10.0,106.0,186.0,185.0,2.25,1.5,3.75,2.0,3.5,1.5,1.19,2.68,1.31,2.5,,Liverpool
Opponent Total,,,27.0,4,44,360.0,4.0,4.0,3.0,7.0,4.0,0.0,0.0,8.0,2.0,3.3,3.3,2.5,5.8,53.0,83.0,80.0,1.0,0.75,1.75,1.0,1.75,0.82,0.64,1.46,0.82,1.46,,Liverpool
Gabriel Magalhães,br BRA,DF,27-271,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Arsenal
David Raya,es ESP,GK,30-001,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal
Martín Zubimendi,es ESP,MF,26-226,4,4,360.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,15.0,4.0,0.5,0.0,0.5,0.5,0.5,0.05,0.01,0.06,0.05,0.06,Matches,Arsenal
Viktor Gyökeres,se SWE,FW,27-104,4,4,306.0,3.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.1,1.3,0.1,1.5,1.0,2.0,19.0,0.88,0.0,0.88,0.59,0.59,0.62,0.04,0.67,0.39,0.44,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,23-120,4,4,291.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.5,1.9,10.0,11.0,16.0,0.31,0.62,0.93,0.31,0.93,0.44,0.15,0.59,0.44,0.59,Matches,Arsenal
Declan Rice,eng ENG,MF,26-245,4,3,285.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.7,7.0,13.0,1.0,0.0,0.32,0.32,0.0,0.32,0.05,0.16,0.21,0.05,0.21,Matches,Arsenal
Jurriën Timber,nl NED,DF,24-091,4,3,263.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.3,7.0,20.0,8.0,0.68,0.34,1.03,0.68,1.03,0.38,0.06,0.44,0.38,0.44,Matches,Arsenal
Noni Madueke,eng ENG,FW,23-190,4,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,1.0,15.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.05,0.29,0.34,0.05,0.34,Matches,Arsenal
William Saliba,fr FRA,DF,24-176,3,3,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Martin Ødegaard,no NOR,MF,26-273,4,3,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,8.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",29-086,3,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,Arsenal
Bukayo Saka,eng ENG,FW,24-011,2,2,142.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,5.0,2.0,15.0,0.63,0.0,0.63,0.63,0.63,0.16,0.07,0.23,0.16,0.23,Matches,Arsenal
Gabriel Martinelli,br BRA,FW,24-090,3,2,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Arsenal
Cristhian Mosquera,es ESP,DF,21-081,3,1,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Eberechi Eze,eng ENG,FW,27-079,2,1,99.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,5.0,4.0,10.0,0.0,0.91,0.91,0.0,0.91,0.05,0.42,0.47,0.05,0.47,Matches,Arsenal
Ben White,eng ENG,DF,27-343,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches,Arsenal
Ethan Nwaneri,eng ENG,MF,18-179,2,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,Arsenal
Myles Lewis-Skelly,eng ENG,DF,18-355,3,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Leandro Trossard,be BEL,FW,30-286,2,0,50.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,4.0,0.0,1.8,1.8,0.0,1.8,0.13,0.23,0.36,0.13,0.36,Matches,Arsenal
Kai Havertz,de GER,FW,26-097,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Max Dowman,eng ENG,FW,15-259,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,Arsenal
Andre Annous,eng ENG,FW,17-263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Kepa Arrizabalaga,es ESP,GK,30-348,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Piero Hincapié,ec ECU,DF,23-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jakub Kiwior,pl POL,"DF,MF",25-213,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Squad Total,,,25.7,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,7.0,0.0,6.2,5.5,3.2,8.6,88.0,145.0,141.0,2.25,1.5,3.75,2.0,3.5,1.56,0.79,2.36,1.36,2.16,,Arsenal
Opponent Total,,,26.4,4,44,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,1.9,4.2,75.0,110.0,110.0,0.25,0.0,0.25,0.25,0.25,0.6,0.46,1.06,0.6,1.06,,Arsenal
Cristian Romero,ar ARG,DF,27-142,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,1.0,15.0,0.0,0.0,0.25,0.25,0.0,0.25,0.02,0.04,0.05,0.02,0.05,Matches,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,28-344,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Mohammed Kudus,gh GHA,"FW,MF",25-045,4,4,349.0,3.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,1.6,10.0,6.0,25.0,0.0,0.52,0.52,0.0,0.52,0.14,0.29,0.42,0.14,0.42,Matches,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,24-150,4,4,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.7,4.0,6.0,0.0,0.26,0.0,0.26,0.26,0.26,0.17,0.02,0.19,0.17,0.19,Matches,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,23-002,4,4,345.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.8,3.0,12.0,14.0,0.26,0.26,0.52,0.26,0.52,0.08,0.12,0.2,0.08,0.2,Matches,Tottenham-Hotspur
Pedro Porro,es ESP,DF,26-003,4,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,10.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur
Djed Spence,eng ENG,DF,25-038,4,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,15.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Tottenham-Hotspur
Richarlison,br BRA,FW,28-129,4,3,257.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.6,2.0,5.0,4.0,0.7,0.35,1.05,0.7,1.05,0.3,0.25,0.54,0.3,0.54,Matches,Tottenham-Hotspur
João Palhinha,pt POR,MF,30-069,4,3,243.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,7.0,3.0,0.37,0.0,0.37,0.37,0.37,0.13,0.0,0.13,0.13,0.13,Matches,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,24-116,4,3,220.0,2.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,7.0,5.0,17.0,0.82,0.0,0.82,0.82,0.82,0.37,0.07,0.44,0.37,0.44,Matches,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,28-083,3,2,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Tottenham-Hotspur
Lucas Bergvall,se SWE,MF,19-226,4,2,200.0,2.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,6.0,10.0,10.0,0.45,0.45,0.9,0.45,0.9,0.13,0.11,0.25,0.13,0.25,Matches,Tottenham-Hotspur
Mathys Tel,fr FRA,FW,20-142,3,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Tottenham-Hotspur
Archie Gray,eng ENG,MF,19-188,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Xavi Simons,nl NED,FW,22-148,1,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,6.0,4.0,6.0,0.0,1.29,1.29,0.0,1.29,0.04,0.16,0.2,0.04,0.2,Matches,Tottenham-Hotspur
Wilson Odobert,fr FRA,"FW,MF",20-292,4,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.37,0.16,0.52,0.37,0.52,Matches,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,22-292,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,Tottenham-Hotspur
Dominic Solanke,eng ENG,FW,28-002,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches,Tottenham-Hotspur
Kevin Danso,at AUT,DF,26-362,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Ben Davies,wls WAL,"DF,MF",32-145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Antonín Kinský,cz CZE,GK,22-187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Randal Kolo Muani,fr FRA,"FW,MF",26-285,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Manor Solomon,il ISR,"FW,MF",26-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Luka Vušković,hr CRO,DF,18-204,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Squad Total,,,25.5,4,44,360.0,4.0,8.0,7.0,15.0,8.0,0.0,0.0,7.0,0.0,4.8,4.8,3.8,8.6,74.0,138.0,136.0,2.0,1.75,3.75,2.0,3.75,1.21,0.95,2.16,1.21,2.16,,Tottenham-Hotspur
Opponent Total,,,26.4,4,44,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,4.6,4.6,4.0,8.6,50.0,115.0,114.0,0.25,0.25,0.5,0.25,0.5,1.15,1.01,2.16,1.15,2.16,,Tottenham-Hotspur
Đorđe Petrović,rs SRB,GK,25-343,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Antoine Semenyo,gh GHA,"FW,MF",25-252,4,4,360.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.7,1.9,0.4,2.3,12.0,15.0,22.0,0.75,0.5,1.25,0.5,1.0,0.67,0.1,0.77,0.47,0.57,Matches,Bournemouth
Marcos Senesi,ar ARG,DF,28-129,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,15.0,0.0,0.0,0.25,0.25,0.0,0.25,0.03,0.05,0.08,0.03,0.08,Matches,Bournemouth
Adrien Truffert,fr FRA,DF,23-300,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,11.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Bournemouth
Tyler Adams,us USA,MF,26-214,4,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Bournemouth
Evanilson,br BRA,FW,25-345,4,4,346.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.5,1.4,4.0,5.0,12.0,0.26,0.0,0.26,0.26,0.26,0.24,0.13,0.37,0.24,0.37,Matches,Bournemouth
Marcus Tavernier,eng ENG,MF,26-178,4,4,332.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.1,11.0,16.0,22.0,0.27,0.0,0.27,0.27,0.27,0.24,0.07,0.31,0.24,0.31,Matches,Bournemouth
David Brooks,wls WAL,"MF,FW",28-070,4,4,277.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.4,2.2,6.0,10.0,24.0,0.0,0.32,0.32,0.0,0.32,0.25,0.45,0.7,0.25,0.7,Matches,Bournemouth
Alex Scott,eng ENG,MF,22-026,4,4,266.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,6.0,5.0,9.0,0.34,0.0,0.34,0.34,0.34,0.06,0.09,0.15,0.06,0.15,Matches,Bournemouth
