Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Bafodé Diakité,fr FRA,DF,24-253,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Bournemouth
Adam Smith,eng ENG,DF,34-140,3,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Bournemouth
James Hill,eng ENG,DF,23-249,4,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Bournemouth
Veljko Milosavljević,rs SRB,DF,18-080,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Bournemouth
Amine Adli,ma MAR,"MF,FW",25-129,3,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.14,0.05,0.14,Matches,Bournemouth
Ryan Christie,sct SCO,MF,30-206,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.13,0.1,0.13,Matches,Bournemouth
Justin Kluivert,nl NED,"MF,FW",26-134,3,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.39,0.33,0.72,0.39,0.72,Matches,Bournemouth
Hamed Junior Traorè,ci CIV,MF,25-212,1,0,17.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,5.29,5.29,0.0,5.29,0.0,1.1,1.1,0.0,1.1,Matches,Bournemouth
Eli Junior Kroupi,fr FRA,"FW,MF",19-085,3,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Ben Winterburn,eng ENG,MF,21-012,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Lewis Cook,eng ENG,MF,28-225,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Álex Jiménez,es ESP,DF,20-131,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Julio Soler,ar ARG,FW,20-212,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Julian Araujo,mx MEX,DF,24-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Philip Billing,dk DEN,MF,29-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Will Dennis,eng ENG,GK,25-068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Ben Doak,sct SCO,"FW,MF",19-309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Romain Faivre,fr FRA,"FW,MF",27-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Remy Rees-Dottin,eng ENG,FW,19-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Squad Total,,,26.1,4,44,360.0,4.0,6.0,5.0,11.0,5.0,1.0,1.0,12.0,0.0,6.0,5.2,4.5,9.6,59.0,127.0,126.0,1.5,1.25,2.75,1.25,2.5,1.49,1.11,2.6,1.29,2.41,,Bournemouth
Opponent Total,,,27.1,4,44,360.0,4.0,5.0,4.0,9.0,5.0,0.0,0.0,11.0,1.0,3.5,3.5,2.9,6.4,64.0,133.0,131.0,1.25,1.0,2.25,1.25,2.25,0.86,0.73,1.59,0.86,1.59,,Bournemouth
Moisés Caicedo,ec ECU,MF,23-318,4,4,360.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,4.0,25.0,2.0,0.5,0.0,0.5,0.5,0.5,0.1,0.0,0.1,0.1,0.1,Matches,Chelsea
Robert Sánchez,es ESP,GK,27-302,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Pedro Neto,pt POR,FW,25-191,4,4,350.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,1.4,18.0,14.0,39.0,0.26,0.0,0.26,0.26,0.26,0.14,0.23,0.37,0.14,0.37,Matches,Chelsea
Enzo Fernández,ar ARG,MF,24-242,4,4,348.0,3.9,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.9,1.1,0.7,1.9,5.0,19.0,16.0,0.52,0.26,0.78,0.26,0.52,0.5,0.19,0.69,0.29,0.48,Matches,Chelsea
Trevoh Chalobah,eng ENG,DF,26-073,4,4,338.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,6.0,22.0,0.0,0.27,0.0,0.27,0.27,0.27,0.15,0.0,0.15,0.15,0.15,Matches,Chelsea
João Pedro,br BRA,"FW,MF",23-355,4,4,330.0,3.7,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.2,2.7,6.0,10.0,26.0,0.55,0.82,1.36,0.55,1.36,0.41,0.33,0.74,0.41,0.74,Matches,Chelsea
Marc Cucurella,es ESP,DF,27-056,4,3,293.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.0,7.0,17.0,14.0,0.0,0.31,0.31,0.0,0.31,0.05,0.24,0.29,0.05,0.29,Matches,Chelsea
Tosin Adarabioyo,eng ENG,DF,27-357,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Estêvão Willian,br BRA,FW,18-145,3,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.9,7.0,3.0,19.0,0.0,0.5,0.5,0.0,0.5,0.49,0.44,0.93,0.49,0.93,Matches,Chelsea
Malo Gusto,fr FRA,DF,22-120,3,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Chelsea
Jamie Gittens,eng ENG,FW,21-039,4,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.15,0.07,0.15,Matches,Chelsea
Liam Delap,eng ENG,FW,22-220,3,2,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Chelsea
Reece James,eng ENG,DF,25-282,4,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.3,0.34,0.04,0.34,Matches,Chelsea
Cole Palmer,eng ENG,MF,23-133,2,1,125.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,9.0,10.0,14.0,0.72,0.0,0.72,0.72,0.72,0.58,0.02,0.6,0.58,0.6,Matches,Chelsea
Joshua Acheampong,eng ENG,DF,19-134,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Chelsea
Wesley Fofana,fr FRA,DF,24-273,2,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Jorrel Hato,nl NED,DF,19-193,2,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Facundo Buonanotte,ar ARG,MF,20-267,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches,Chelsea
Tyrique George,eng ENG,FW,19-224,2,0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Chelsea
Andrey Santos,br BRA,MF,21-136,3,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.54,0.1,0.65,0.54,0.65,Matches,Chelsea
Alejandro Garnacho,ar ARG,FW,21-077,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,Matches,Chelsea
Dario Essugo,pt POR,MF,20-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Filip Jørgensen,dk DEN,GK,23-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Gaga Slonina,us USA,GK,21-124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Squad Total,,,24.4,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,7.0,0.0,7.7,6.9,5.6,12.5,84.0,175.0,174.0,2.25,1.5,3.75,2.0,3.5,1.92,1.4,3.32,1.73,3.12,,Chelsea
Opponent Total,,,27.2,4,44,360.0,4.0,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.7,3.7,3.2,6.9,43.0,94.0,92.0,0.75,0.75,1.5,0.75,1.5,0.93,0.8,1.72,0.93,1.72,,Chelsea
Kiernan Dewsbury-Hall,eng ENG,MF,27-010,4,4,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,1.6,1.7,6.0,24.0,14.0,0.25,0.25,0.5,0.25,0.5,0.03,0.39,0.42,0.03,0.42,Matches,Everton
James Garner,eng ENG,"DF,MF",24-187,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.8,2.0,19.0,6.0,0.25,0.0,0.25,0.25,0.25,0.04,0.17,0.21,0.04,0.21,Matches,Everton
Michael Keane,eng ENG,DF,32-248,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches,Everton
Jake O'Brien,ie IRL,DF,24-124,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,3.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,Everton
Jordan Pickford,eng ENG,GK,31-193,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
James Tarkowski,eng ENG,DF,32-301,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,Everton
Idrissa Gana Gueye,sn SEN,MF,35-355,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.6,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,Everton
Iliman Ndiaye,sn SEN,FW,25-194,4,4,332.0,3.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.8,10.0,5.0,18.0,0.54,0.0,0.54,0.54,0.54,0.35,0.13,0.48,0.35,0.48,Matches,Everton
Jack Grealish,eng ENG,FW,30-006,4,3,286.0,3.2,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,2.0,2.4,25.0,13.0,29.0,0.0,1.26,1.26,0.0,1.26,0.13,0.62,0.74,0.13,0.74,Matches,Everton
Beto,gw GNB,FW,27-228,4,3,266.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.2,2.0,1.0,2.0,13.0,0.34,0.0,0.34,0.34,0.34,0.61,0.06,0.67,0.61,0.67,Matches,Everton
Tim Iroegbunam,eng ENG,MF,22-078,4,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Everton
Carlos Alcaraz,ar ARG,"FW,MF",22-290,3,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Everton
Thierno Barry,fr FRA,"FW,MF",22-330,4,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,Everton
Vitaliy Mykolenko,ua UKR,DF,26-110,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Merlin Röhl,de GER,MF,23-073,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.36,0.1,0.36,Matches,Everton
Dwight McNeil,eng ENG,FW,25-298,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,0.64,1.74,1.1,1.74,Matches,Everton
Harrison Armstrong,eng ENG,FW,18-240,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Séamus Coleman,ie IRL,FW,36-340,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Adam Aznou,ma MAR,DF,19-106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Elijah Campbell,eng ENG,DF,21-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Youssef Chermiti,pt POR,FW,21-115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Tyler Dibling,eng ENG,MF,19-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Tyler Onyango,eng ENG,MF,22-196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Nathan Patterson,sct SCO,DF,23-335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Mark Travers,ie IRL,GK,26-121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Harry Tyrer,eng ENG,GK,23-284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Squad Total,,,28.4,4,44,360.0,4.0,5.0,5.0,10.0,5.0,0.0,0.0,10.0,0.0,6.3,6.3,5.4,11.6,56.0,123.0,123.0,1.25,1.25,2.5,1.25,2.5,1.57,1.34,2.91,1.57,2.91,,Everton
Opponent Total,,,26.9,4,44,360.0,4.0,3.0,2.0,5.0,2.0,1.0,2.0,6.0,0.0,5.9,4.5,3.4,7.9,53.0,142.0,141.0,0.75,0.5,1.25,0.5,1.0,1.48,0.85,2.33,1.12,1.97,,Everton
Trai Hume,nir NIR,DF,23-182,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,3.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Sunderland
Reinildo Mandava,mz MOZ,DF,31-238,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Robin Roefs,nl NED,GK,22-242,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Granit Xhaka,ch SUI,MF,32-354,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,2.0,27.0,4.0,0.0,0.25,0.25,0.0,0.25,0.01,0.07,0.08,0.01,0.08,Matches,Sunderland
Noah Sadiki,cd COD,MF,20-273,4,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,8.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Sunderland
Habib Diarra,sn SEN,MF,21-256,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,10.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,Matches,Sunderland
Chemsdine Talbi,ma MAR,FW,20-130,4,4,305.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,2.0,3.0,22.0,0.0,0.3,0.3,0.0,0.3,0.15,0.04,0.19,0.15,0.19,Matches,Sunderland
Omar Alderete,py PAR,DF,28-264,4,3,308.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,18.0,0.0,0.0,0.29,0.29,0.0,0.29,0.03,0.01,0.04,0.03,0.04,Matches,Sunderland
Simon Adingra,ci CIV,FW,23-258,4,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,5.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.25,Matches,Sunderland
Eliezer Mayenda,es ESP,FW,20-131,3,3,201.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,2.0,0.0,5.0,0.45,0.0,0.45,0.45,0.45,0.18,0.11,0.29,0.18,0.29,Matches,Sunderland
Nordi Mukiele,fr FRA,DF,27-319,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,Sunderland
Daniel Ballard,nir NIR,DF,25-359,2,2,98.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.0,1.0,0.0,0.92,0.0,0.92,0.92,0.92,0.17,0.28,0.45,0.17,0.45,Matches,Sunderland
Wilson Isidor,fr FRA,FW,25-020,4,1,158.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,3.0,7.0,1.14,0.0,1.14,1.14,1.14,0.22,0.0,0.22,0.22,0.22,Matches,Sunderland
Jenson Seelt,nl NED,DF,22-116,2,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Enzo Le Fée,fr FRA,"FW,MF",25-225,3,1,133.0,1.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.2,0.2,2.0,3.0,14.0,0.68,0.0,0.68,0.0,0.0,0.56,0.14,0.7,0.03,0.17,Matches,Sunderland
Patrick Roberts,eng ENG,"MF,FW",28-223,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Sunderland
Brian Brobbey,nl NED,FW,23-227,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Marc Guiu,es ESP,FW,19-255,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Sunderland
