name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Chris Rigg,eng ENG,FW,18-091,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Harrison Jones,eng ENG,MF,20-266,0,0,,,,,,,,,,,,,Sunderland
Arthur Masuaku,cd COD,"DF,MF",31-314,0,0,,,,,,,,,,,,,Sunderland
Dan Neil,eng ENG,MF,23-278,0,0,,,,,,,,,,,,,Sunderland
Anthony Patterson,eng ENG,GK,25-130,0,0,,,,,,,,,,,,,Sunderland
Bertrand Traoré,bf BFA,"FW,MF",30-011,0,0,,,,,,,,,,,,,Sunderland
Tijjani Reijnders,nl NED,MF,27-050,4,4,360.0,1.0,0.25,1.0,0.25,0.0,1.0,0.0,0.7,0.17,0.3,0.08,Manchester-City
Erling Haaland,no NOR,FW,25-058,4,4,338.0,5.0,1.33,0.0,0.0,0.0,0.0,0.0,5.7,1.53,0.9,0.23,Manchester-City
Rúben Dias,pt POR,DF,28-126,4,3,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
James Trafford,eng ENG,GK,22-342,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
John Stones,eng ENG,DF,31-112,3,3,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Bernardo Silva,pt POR,MF,31-038,4,3,260.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.1,0.02,1.6,0.57,Manchester-City
Oscar Bobb,no NOR,"FW,MF",22-067,4,3,258.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.3,0.1,0.4,0.13,Manchester-City
Rayan Aït-Nouri,dz ALG,DF,24-103,3,3,202.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.2,0.09,Manchester-City
Jeremy Doku,be BEL,"MF,FW",23-113,4,2,197.0,0.0,0.0,2.0,0.91,0.0,0.0,0.0,0.0,0.0,1.7,0.77,Manchester-City
Abdukodir Khusanov,uz UZB,DF,21-200,3,2,183.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Rodri,es ESP,MF,29-087,3,2,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.04,Manchester-City
Nicolás González,es ESP,MF,23-257,3,2,179.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.03,0.0,0.0,Manchester-City
Rico Lewis,eng ENG,DF,20-300,3,2,161.0,0.0,0.0,1.0,0.56,0.0,0.0,0.0,0.0,0.01,1.0,0.56,Manchester-City
Omar Marmoush,eg EGY,"FW,MF",26-222,3,2,149.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.8,0.5,1.0,0.58,Manchester-City
Nico O’Reilly,eng ENG,"DF,MF",20-180,3,1,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.05,0.0,0.0,Manchester-City
Matheus Nunes,pt POR,DF,27-021,2,1,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Phil Foden,eng ENG,MF,25-112,2,1,106.0,1.0,0.85,0.0,0.0,0.0,0.0,0.0,0.5,0.38,0.1,0.06,Manchester-City
Gianluigi Donnarumma,it ITA,GK,26-204,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Joško Gvardiol,hr CRO,DF,23-237,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Rayan Cherki,fr FRA,"MF,FW",22-031,2,1,71.0,1.0,1.27,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.5,0.6,Manchester-City
Nathan Aké,nl NED,DF,30-211,2,0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.0,0.0,Manchester-City
Sávio,br BRA,MF,21-160,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",30-060,0,0,,,,,,,,,,,,,Manchester-City
Ederson,br BRA,GK,32-031,0,0,,,,,,,,,,,,,Manchester-City
İlkay Gündoğan,de GER,MF,34-328,0,0,,,,,,,,,,,,,Manchester-City
Stephen Mfuni,eng ENG,DF,17-217,0,0,,,,,,,,,,,,,Manchester-City
Divine Mukasa,eng ENG,MF,18-026,0,0,,,,,,,,,,,,,Manchester-City
Stefan Ortega,de GER,GK,32-315,0,0,,,,,,,,,,,,,Manchester-City
Marc Guéhi,eng ENG,DF,25-066,4,4,360.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.01,Crystal-Palace
Dean Henderson,eng ENG,GK,28-189,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Maxence Lacroix,fr FRA,DF,25-164,4,4,360.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.1,0.03,0.5,0.13,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",26-016,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.05,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",29-114,4,4,360.0,0.0,0.0,1.0,0.25,0.0,2.0,0.0,0.2,0.04,1.5,0.37,Crystal-Palace
Chris Richards,us USA,DF,25-173,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,0.0,0.0,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,28-081,4,4,351.0,1.0,0.26,0.0,0.0,1.0,2.0,0.0,1.8,0.47,0.0,0.0,Crystal-Palace
Will Hughes,eng ENG,MF,30-153,4,4,319.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.04,0.5,0.13,Crystal-Palace
Ismaila Sarr,sn SEN,"MF,FW",27-204,3,3,270.0,2.0,0.67,0.0,0.0,0.0,1.0,0.0,2.0,0.66,0.0,0.02,Crystal-Palace
Adam Wharton,eng ENG,MF,21-223,3,3,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.16,Crystal-Palace
Daichi Kamada,jp JPN,MF,29-043,2,2,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.6,0.3,Crystal-Palace
Jefferson Lerma,co COL,MF,30-327,4,1,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.26,0.0,0.0,Crystal-Palace
Yeremi Pino,es ESP,MF,22-332,2,1,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.66,0.4,0.31,Crystal-Palace
Justin Devenny,nir NIR,"FW,MF",21-341,4,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.11,Crystal-Palace
Eberechi Eze,eng ENG,MF,27-080,1,1,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.26,0.0,0.0,Crystal-Palace
Romain Esse,eng ENG,FW,20-127,1,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Christantus Uche,ng NGA,MF,22-121,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,34-165,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Odsonne Édouard,fr FRA,FW,27-244,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Walter Benítez,ar ARG,GK,32-241,0,0,,,,,,,,,,,,,Crystal-Palace
Jaydee Canvot,fr FRA,MF,19-050,0,0,,,,,,,,,,,,,Crystal-Palace
Rio Cardines,tt TRI,MF,19-078,0,0,,,,,,,,,,,,,Crystal-Palace
Remi Matthews,eng ENG,GK,31-219,0,0,,,,,,,,,,,,,Crystal-Palace
Jesurun Rak Sakyi,eng ENG,"FW,MF",22-347,0,0,,,,,,,,,,,,,Crystal-Palace
Kaden Rodney,eng ENG,"DF,MF",20-345,0,0,,,,,,,,,,,,,Crystal-Palace
Borna Sosa,hr CRO,"DF,MF",27-239,0,0,,,,,,,,,,,,,Crystal-Palace
Dan Burn,eng ENG,DF,33-131,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.01,0.0,0.01,Newcastle-United
Bruno Guimarães,br BRA,MF,27-305,4,4,360.0,1.0,0.25,0.0,0.0,0.0,2.0,0.0,0.2,0.06,0.1,0.02,Newcastle-United
Valentino Livramento,eng ENG,DF,22-309,4,4,360.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.05,Newcastle-United
Nick Pope,eng ENG,GK,33-151,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Fabian Schär,ch SUI,DF,33-271,4,4,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.03,Newcastle-United
Sandro Tonali,it ITA,MF,25-132,4,4,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.6,0.16,Newcastle-United
Kieran Trippier,eng ENG,DF,34-363,4,4,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.09,Newcastle-United
Harvey Barnes,eng ENG,FW,27-282,4,3,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.7,0.23,Newcastle-United
Joelinton,br BRA,MF,29-034,3,3,221.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.7,0.28,Newcastle-United
Anthony Elanga,se SWE,FW,23-143,4,2,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.25,0.3,0.13,Newcastle-United
Jacob Murphy,eng ENG,FW,30-205,3,2,163.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0,0.9,0.5,0.2,0.08,Newcastle-United
Anthony Gordon,eng ENG,FW,24-205,2,2,134.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.72,0.1,0.06,Newcastle-United
William Osula,dk DEN,FW,22-044,4,1,132.0,1.0,0.68,0.0,0.0,0.0,0.0,0.0,0.4,0.27,0.1,0.05,Newcastle-United
Sven Botman,nl NED,DF,25-248,2,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Nick Woltemade,de GER,FW,23-215,1,1,64.0,1.0,1.41,0.0,0.0,0.0,0.0,0.0,0.3,0.39,0.0,0.04,Newcastle-United
Jacob Ramsey,eng ENG,MF,24-112,2,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.3,0.42,Newcastle-United
Lewis Miley,eng ENG,MF,19-139,3,0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,Newcastle-United
Lewis Hall,eng ENG,DF,21-009,2,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,Newcastle-United
Joe Willock,eng ENG,MF,26-028,1,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.32,0.0,0.0,Newcastle-United
Malick Thiaw,de GER,DF,24-040,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Emil Krafth,se SWE,DF,31-046,0,0,,,,,,,,,,,,,Newcastle-United
Jamaal Lascelles,eng ENG,DF,31-310,0,0,,,,,,,,,,,,,Newcastle-United
Aaron Ramsdale,eng ENG,GK,27-126,0,0,,,,,,,,,,,,,Newcastle-United
Park Seungsoo,kr KOR,MF,18-184,0,0,,,,,,,,,,,,,Newcastle-United
Joachim Andersen,dk DEN,DF,29-109,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.7,0.17,Fulham
Calvin Bassey,ng NGA,DF,25-260,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.04,0.0,0.0,Fulham
Bernd Leno,de GER,GK,33-197,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Saša Lukić,rs SRB,MF,29-035,4,4,360.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.13,0.6,0.15,Fulham
Kenny Tete,nl NED,DF,29-343,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.03,Fulham
Sander Berge,no NOR,MF,27-215,4,4,328.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.11,0.2,0.07,Fulham
Alex Iwobi,ng NGA,FW,29-137,4,4,313.0,0.0,0.0,1.0,0.29,0.0,1.0,0.0,0.1,0.03,1.0,0.3,Fulham
Joshua King,eng ENG,MF,18-257,4,4,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.1,0.03,Fulham
Rodrigo Muniz,br BRA,FW,24-136,4,3,237.0,1.0,0.38,0.0,0.0,0.0,1.0,0.0,0.8,0.31,0.1,0.02,Fulham
Ryan Sessegnon,eng ENG,DF,25-122,3,3,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.28,Fulham
Harry Wilson,wls WAL,FW,28-179,4,2,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.0,Fulham
Timothy Castagne,be BEL,"FW,DF",29-286,3,2,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.27,0.1,0.06,Fulham
Raúl Jiménez,mx MEX,FW,34-135,4,1,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.29,0.0,0.0,Fulham
Jorge Cuenca,es ESP,DF,25-304,1,1,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Emile Smith Rowe,eng ENG,"MF,FW",25-051,4,0,89.0,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.03,Fulham
Adama Traoré,es ESP,FW,29-235,3,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.1,Fulham
Antonee Robinson,us USA,DF,28-040,2,0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,Fulham
Tom Cairney,sct SCO,MF,34-240,2,0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Fulham
Kevin,br BRA,FW,22-256,1,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.27,Fulham
Issa Diop,fr FRA,DF,28-251,0,0,,,,,,,,,,,,,Fulham
Benjamin Lecomte,fr FRA,GK,34-144,0,0,,,,,,,,,,,,,Fulham
Andreas Pereira,br BRA,MF,29-259,0,0,,,,,,,,,,,,,Fulham
Harrison Reed,eng ENG,MF,30-233,0,0,,,,,,,,,,,,,Fulham
Nathan Collins,ie IRL,DF,24-140,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.02,Brentford
Sepp van den Berg,nl NED,DF,23-271,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,Brentford
Caoimhín Kelleher,ie IRL,GK,26-298,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brentford
Yehor Yarmoliuk,ua UKR,MF,21-200,4,4,348.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.03,0.1,0.02,Brentford
Michael Kayode,it ITA,DF,21-069,4,4,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,Brentford
Thiago,br BRA,FW,24-083,4,4,342.0,2.0,0.53,0.0,0.0,1.0,2.0,0.0,1.2,0.33,1.1,0.28,Brentford
Keane Lewis-Potter,eng ENG,"DF,FW",24-207,4,4,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.01,Brentford
Kevin Schade,de GER,FW,23-294,4,3,302.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1.6,0.49,0.1,0.02,Brentford
Jordan Henderson,eng ENG,MF,35-092,4,3,250.0,0.0,0.0,1.0,0.36,0.0,0.0,0.0,0.0,0.01,0.2,0.08,Brentford
Dango Ouattara,bf BFA,FW,23-218,3,2,191.0,1.0,0.47,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.0,Brentford
Mikkel Damsgaard,dk DEN,MF,25-076,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.4,0.21,Brentford
Mathias Jensen,dk DEN,MF,29-259,3,2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.2,0.11,Brentford
Rico Henry,eng ENG,DF,28-071,4,1,131.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.09,0.1,0.09,Brentford
Fabio Carvalho,pt POR,"FW,MF",23-018,3,1,92.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.7,0.68,0.0,0.0,Brentford
Ethan Pinnock,jm JAM,DF,32-111,1,1,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brentford
Antoni Milambo,nl NED,MF,20-167,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Frank Onyeka,ng NGA,MF,27-259,3,0,64.0,0.0,0.0,1.0,1.41,0.0,0.0,0.0,0.0,0.0,0.1,0.17,Brentford
Aaron Hickey,sct SCO,"DF,FW",23-099,3,0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brentford
Kristoffer Ajer,no NOR,DF,27-153,2,0,14.0,0.0,0.0,1.0,6.43,0.0,0.0,0.0,0.0,0.26,0.7,4.31,Brentford
Benjamin Arthur,eng ENG,DF,19-343,0,0,,,,,,,,,,,,,Brentford
Vitaly Janelt,de GER,MF,27-130,0,0,,,,,,,,,,,,,Brentford
Reiss Nelson,eng ENG,"FW,MF",25-281,0,0,,,,,,,,,,,,,Brentford
Myles Peart-Harris,eng ENG,MF,22-364,0,0,,,,,,,,,,,,,Brentford
Mads Roerslev,dk DEN,"DF,MF",26-085,0,0,,,,,,,,,,,,,Brentford
Hákon Valdimarsson,is ISL,GK,23-339,0,0,,,,,,,,,,,,,Brentford
Lewis Dunk,eng ENG,DF,33-300,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.05,0.0,0.01,Brighton-and-Hove-Albion
Jan Paul van Hecke,nl NED,DF,25-101,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.08,0.0,0.0,Brighton-and-Hove-Albion
Bart Verbruggen,nl NED,GK,23-030,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,Brighton-and-Hove-Albion
Kaoru Mitoma,jp JPN,FW,28-120,4,4,352.0,1.0,0.26,1.0,0.26,0.0,1.0,0.0,0.7,0.17,1.0,0.25,Brighton-and-Hove-Albion
Yankuba Minteh,gm GAM,FW,21-057,4,4,337.0,0.0,0.0,1.0,0.27,0.0,0.0,0.0,0.5,0.13,1.3,0.35,Brighton-and-Hove-Albion
Maxim De Cuyper,be BEL,DF,24-269,4,4,269.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.02,Brighton-and-Hove-Albion
Danny Welbeck,eng ENG,FW,34-295,4,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.63,0.1,0.02,Brighton-and-Hove-Albion
Carlos Baleba,cm CMR,MF,21-257,4,3,197.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.02,Brighton-and-Hove-Albion
Yasin Ayari,se SWE,MF,21-346,4,2,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.1,0.02,Brighton-and-Hove-Albion
Joël Veltman,nl NED,DF,33-245,2,2,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,Brighton-and-Hove-Albion
Matt O'Riley,dk DEN,MF,24-300,2,2,177.0,1.0,0.51,0.0,0.0,1.0,0.0,0.0,1.2,0.61,0.2,0.1,Brighton-and-Hove-Albion
Mats Wieffer,nl NED,DF,25-305,2,2,174.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,Brighton-and-Hove-Albion
Georginio Rutter,fr FRA,"FW,MF",23-150,3,2,164.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.07,0.1,0.04,Brighton-and-Hove-Albion
Jack Hinshelwood,eng ENG,MF,20-159,3,2,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Diego Gómez,py PAR,MF,22-174,3,1,106.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.3,0.26,Brighton-and-Hove-Albion
James Milner,eng ENG,MF,39-256,3,1,99.0,1.0,0.91,0.0,0.0,1.0,1.0,0.0,0.8,0.72,0.0,0.0,Brighton-and-Hove-Albion
Ferdi Kadioglu,tr TUR,"DF,FW",25-345,3,0,113.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Brajan Gruda,de GER,"MF,FW",21-109,4,0,68.0,1.0,1.32,0.0,0.0,0.0,0.0,0.0,1.2,1.53,0.1,0.17,Brighton-and-Hove-Albion
Stefanos Tzimas,gr GRE,FW,19-254,1,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Diego Coppola,it ITA,DF,21-263,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Olivier Boscagli,fr FRA,DF,27-303,0,0,,,,,,,,,,,,,Brighton-and-Hove-Albion
Jason Steele,eng ENG,GK,35-030,0,0,,,,,,,,,,,,,Brighton-and-Hove-Albion
Tom Watson,eng ENG,MF,19-162,0,0,,,,,,,,,,,,,Brighton-and-Hove-Albion
Altay Bayındır,tr TUR,GK,27-156,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,Manchester-United
Bruno Fernandes,pt POR,MF,31-009,4,4,360.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,1.9,0.48,1.2,0.31,Manchester-United
Matthijs de Ligt,nl NED,DF,26-036,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.2,0.05,Manchester-United
Bryan Mbeumo,cm CMR,MF,26-041,4,4,360.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.7,0.44,1.3,0.33,Manchester-United
Luke Shaw,eng ENG,DF,30-067,4,4,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,Manchester-United
Leny Yoro,fr FRA,DF,19-308,4,4,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,0.0,0.0,Manchester-United
Patrick Dorgu,dk DEN,DF,20-326,3,3,270.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.08,0.1,0.05,Manchester-United
Amad Diallo,ci CIV,"DF,MF",23-068,4,3,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.29,0.7,0.24,Manchester-United
Matheus Cunha,br BRA,"FW,MF",26-113,3,3,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.35,0.2,0.07,Manchester-United
Casemiro,br BRA,MF,33-206,4,3,198.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.28,0.1,0.04,Manchester-United
Mason Mount,eng ENG,MF,26-250,3,3,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.4,0.19,Manchester-United
